id,montant,categorie,date
F1000,2527,Deplacements,2025-07-03
F1001,422092,Logistique,2025-07-27
F1002,90677.02,Consulting,2025-01-01
F1003,483058.33,Services,2025-03-16
F1004,454684.51,Fournitures,2025-05-02
F1005,1.49,Fournitures,2025-09-23
F1006,184469.77,Materiel,2025-10-20
F1007,2.31,Logistique,2025-07-15
F1008,14.52,Consulting,2025-01-27
F1009,37562.03,Services,2025-01-11
F1010,12112.82,Materiel,2025-11-09
F1011,45666.19,Materiel,2025-10-21
F1012,1.61,Deplacements,2025-02-28
F1013,5685.82,Deplacements,2025-04-27
F1014,31860.01,Deplacements,2025-11-13
F1015,1515.37,Services,2025-06-02
F1016,1868.74,Deplacements,2025-04-26
F1017,61468.32,Logistique,2025-05-18
F1018,12266.27,Logistique,2025-05-07
F1019,1860.68,Services,2025-02-05
F1020,2342.68,Marketing,2025-06-27
F1021,48,Marketing,2025-02-03
F1022,24829.82,Services,2025-02-18
F1023,70004.9,Logistique,2025-08-03
F1024,205419.7,Services,2025-06-09
F1025,174.84,Logistique,2025-09-26
F1026,20.9,Services,2025-08-03
F1027,1,Services,2025-10-05
F1028,23296.26,Marketing,2025-05-24
F1029,798.66,Services,2025-04-24
F1030,64122.03,Services,2025-08-23
F1031,2.16,Consulting,2025-09-28
F1032,359.7,Services,2025-11-24
F1033,43.88,Services,2025-06-28
F1034,26025.71,Deplacements,2025-01-02
F1035,251.19,Fournitures,2025-13-27
F1036,38.24,Logistique,2025-08-22
F1037,132387.74,Materiel,2025-12-21
F1038,29.04,Services,2025-07-14
F1039,176.68,Materiel,2025-07-18
F1040,239770.52,Materiel,2025-07-17
F1041,164151.25,Deplacements,2025-08-19
F1042,115978.59,Marketing,2025-05-13
F1043,17398.9,Consulting,2025-11-13
F1044,10.66,Services,2025-05-14
F1045,1.91,Fournitures,2025-09-19
F1046,44385.92,Services,2025-07-07
F1047,42.34,Services,2025-08-25
F1048,4606.33,Consulting,2025-12-26
F1049,24.94,Logistique,2025-02-17
F1050,49234.55,Deplacements,2025-04-03
F1051,8942.29,Fournitures,2025-11-02
F1052,105.73,Services,2025-08-01
F1053,497.27,Marketing,2025-12-06
F1054,364.53,Consulting,2025-01-01
F1055,2144.63,Logistique,2025-03-05
F1056,2912.46,Materiel,2025-08-19
F1057,1.96,Consulting,2025-06-07
F1058,295.82,Materiel,2025-10-25
F1059,7.89,Consulting,2025-04-08
F1060,3.59,Services,2025-01-25
F1061,22186.83,Materiel,2025-08-17
F1062,1.18,Deplacements,2025-10-19
F1063,339.3,Services,2025-03-26
F1064,8.19,Logistique,2025-08-18
F1065,59.55,Logistique,2025-02-19
F1066,73944.55,Fournitures,2025-13-27
F1067,6.27,Services,2025-02-06
F1068,8609.48,Marketing,2025-09-25
F1069,1.51,Fournitures,2025-01-02
F1070,4.85,Marketing,2025-01-24
F1071,419210.68,Deplacements,2025-02-01
F1072,16.27,Deplacements,2025-06-04
F1073,841.79,Consulting,2025-09-09
F1074,2524.68,Services,2025-04-21
F1075,33217.28,Materiel,2025-07-15
F1076,3.13,Materiel,2025-10-21
F1077,2.18,Fournitures,2025-04-06
F1078,18.04,Services,2025-08-10
F1079,1490.61,Materiel,2025-07-03
F1080,79923.18,Marketing,2025-02-21
F1081,4691.24,Marketing,2025-07-27
F1082,26189.12,Consulting,2025-08-04
F1083,8442.14,Consulting,2025-05-09
F1084,168864.65,Marketing,2025-11-14
F1085,290767.93,Consulting,2025-11-10
F1086,1328.83,Fournitures,2025-09-07
F1087,2.97,Logistique,2025-01-14
F1088,276525.26,Fournitures,2025-11-04
F1089,63046.54,Fournitures,2025-06-21
F1090,3.97,Marketing,2025-01-20
F1091,88.99,Services,2025-06-16
F1092,28905.57,Materiel,2025-12-03
F1093,116.56,Materiel,2025-07-03
F1094,826.06,Fournitures,2025-08-15
F1095,1004.52,Fournitures,2025-04-16
F1096,1.14,Services,2025-04-05
F1097,54.82,Marketing,2025-13-25
F1098,1056.32,Logistique,2025-12-25
F1099,204506.56,Consulting,2025-07-10
F1100,16978.53,Fournitures,2025-02-01
F1101,495.41,Consulting,2025-08-15
F1102,1.3,Services,2025-10-24
F1103,29701.44,Materiel,2025-10-10
F1104,213.57,Fournitures,2025-03-25
F1105,6587.99,Logistique,2025-06-25
F1106,3296.26,Services,2025-04-24
F1107,1.19,Consulting,2025-12-08
F1108,3.64,Deplacements,2025-05-11
F1109,24389.56,Consulting,2025-02-15
F1110,15.23,Fournitures,2025-09-25
F1111,63.95,Marketing,2025-12-24
F1112,25.7,Logistique,2025-13-25
F1113,315706.91,Logistique,2025-09-28
F1114,2074.84,Materiel,2025-08-11
F1115,1315.39,Materiel,2025-07-21
F1116,4.06,Services,2025-13-01
F1117,81888.2,Consulting,2025-09-17
F1118,7,Logistique,2025-04-16
F1119,463964.3,Logistique,2025-03-18
F1120,259120.37,Marketing,2025-03-09
F1121,19769.67,Fournitures,2025-01-17
F1122,112.18,Logistique,2025-10-17
F1123,5.22,Logistique,2025-08-27
F1124,1335.75,Services,2025-07-14
F1125,132.38,Services,2025-09-20
F1126,49.01,Fournitures,2025-02-13
F1127,64059.92,Marketing,2025-11-02
F1128,97717.23,Consulting,2025-03-16
F1129,293535.71,Services,2025-06-01
F1130,52.39,Logistique,2025-02-09
F1131,3.12,Marketing,2025-03-07
F1132,281042.99,Logistique,2025-09-27
F1133,2.18,Logistique,2025-06-01
F1134,12.32,Fournitures,2025-08-11
F1135,2.35,Logistique,2025-11-06
F1136,5659.53,Marketing,2025-02-21
F1137,19.47,Fournitures,2025-02-12
F1138,1.05,Fournitures,2025-07-12
F1139,4.24,Marketing,2025-01-15
F1140,145946.98,Services,2025-05-12
F1141,4.27,Consulting,2025-10-25
F1142,1.14,Marketing,2025-11-26
F1143,11.56,Services,2025-12-03
F1144,330747.61,Marketing,2025-10-26
F1145,2908.71,Materiel,2025-09-21
F1146,6833.4,Deplacements,2025-10-11
F1147,6.9,Deplacements,2025-12-24
F1148,200713.48,Deplacements,2025-03-05
F1149,66.57,Marketing,2025-09-04
F1150,152.16,Logistique,2025-11-20
F1151,2827.81,Consulting,2025-09-24
F1152,485.78,Fournitures,2025-12-24
F1153,196.33,Deplacements,2025-02-20
F1154,40.13,Materiel,2025-12-23
F1155,2388.98,Logistique,2025-10-07
F1156,31.05,Consulting,2025-07-06
F1157,217.53,Fournitures,2025-04-08
F1158,789.18,Deplacements,2025-09-25
F1159,246384.53,Deplacements,2025-01-09
F1160,179.57,Fournitures,2025-04-23
