echantillon_id,mesure_mm,operateur
E-0001,24.454,R. Perrin
E-0002,25.297,A. Morel
E-0003,26.151,A. Morel
E-0004,25.409,A. Morel
E-0005,24.507,R. Perrin
E-0006,25.165,R. Perrin
E-0007,25.284,R. Perrin
E-0008,24.889,A. Morel
E-0009,25.78,R. Perrin
E-0010,24.405,L. Dubois
E-0011,25.294,R. Perrin
E-0012,24.152,A. Morel
E-0013,25.319,A. Morel
E-0014,24.166,R. Perrin
E-0015,25.507,L. Dubois
E-0016,25.337,L. Dubois
E-0017,23.513,A. Morel
E-0018,25.275,L. Dubois
E-0019,25.513,A. Morel
E-0020,24.634,R. Perrin
E-0021,25.885,L. Dubois
E-0022,26.254,A. Morel
E-0023,25.759,A. Morel
E-0024,24.892,L. Dubois
E-0025,26.628,R. Perrin
E-0026,24.06,R. Perrin
E-0027,23.272,R. Perrin
E-0028,25.281,R. Perrin
E-0029,25.815,R. Perrin
E-0030,25.829,L. Dubois
E-0031,24.871,L. Dubois
E-0032,24.957,R. Perrin
E-0033,25.42,R. Perrin
E-0034,24.353,A. Morel
E-0035,25.073,L. Dubois
E-0036,25.286,R. Perrin
E-0037,23.869,A. Morel
E-0038,26.09,L. Dubois
E-0039,16.366,A. Morel
E-0040,24.409,A. Morel
E-0041,26.438,R. Perrin
E-0042,24.309,R. Perrin
E-0043,24.44,L. Dubois
E-0044,24.101,A. Morel
E-0045,24.921,A. Morel
E-0046,24.617,A. Morel
E-0047,25.051,L. Dubois
E-0048,25.898,L. Dubois
E-0049,25.885,R. Perrin
E-0050,24.848,A. Morel
E-0051,26.135,R. Perrin
E-0052,24.307,A. Morel
E-0053,24.43,R. Perrin
E-0054,25.888,A. Morel
E-0055,24.318,A. Morel
E-0056,25.077,R. Perrin
E-0057,26.333,A. Morel
E-0058,25.19,A. Morel
E-0059,25.56,A. Morel
E-0060,23.776,L. Dubois
E-0061,24.646,L. Dubois
E-0062,24.697,L. Dubois
E-0063,24.84,L. Dubois
E-0064,25.205,R. Perrin
E-0065,25.735,R. Perrin
E-0066,25.702,R. Perrin
E-0067,25.169,R. Perrin
E-0068,24.939,A. Morel
E-0069,25.498,A. Morel
E-0070,25.635,A. Morel
E-0071,26.409,A. Morel
E-0072,24.083,A. Morel
E-0073,24.281,L. Dubois
E-0074,24.946,L. Dubois
E-0075,24.872,A. Morel
E-0076,25.833,R. Perrin
E-0077,26.336,A. Morel
