id,montant,fournisseur,date
TX5000,51.88,Epsilon Consulting,2025-05-19
TX5001,2210.12,Alpha SARL,2025-09-02
TX5002,30.65,Delta Trading,2025-06-18
TX5003,18141,Gamma Services,2025-04-24
TX5004,5000,Epsilon Consulting,2025-12-23
TX5005,5000,Delta Trading,2025-04-28
TX5006,9392.14,Alpha SARL,2025-13-02
TX5007,10.81,Gamma Services,2025-09-03
TX5008,756.34,Gamma Services,2025-12-23
TX5009,119.63,Gamma Services,2025-05-26
TX5010,116.6,Epsilon Consulting,2025-04-08
TX5011,90.5,Delta Trading,2025-05-28
TX5012,2500,Epsilon Consulting,2025-11-14
TX5013,40996.62,Beta Corp,2025-09-07
TX5014,2500,Alpha SARL,2025-05-01
TX5015,5000,Epsilon Consulting,2025-04-17
TX5016,5000,Alpha SARL,2025-01-13
TX5017,9149.92,Alpha SARL,2025-01-11
TX5018,20.32,Beta Corp,2025-06-26
TX5019,2500,Delta Trading,2025-12-24
TX5020,303.63,Gamma Services,2025-08-26
TX5021,5002.6,Epsilon Consulting,2025-02-13
TX5022,500,Epsilon Consulting,2025-03-06
TX5023,5360.73,Epsilon Consulting,2025-07-17
TX5024,2500,Delta Trading,2025-10-12
TX5025,25.91,Epsilon Consulting,2025-04-17
TX5026,3251.92,Beta Corp,2025-04-06
TX5027,9720.13,Beta Corp,2025-03-28
TX5028,9000,Delta Trading,2025-11-21
TX5029,9043.2,Beta Corp,2025-02-12
TX5030,162.42,Beta Corp,2025-01-11
TX5031,49488.27,Epsilon Consulting,2025-04-02
TX5032,5392.41,Epsilon Consulting,2025-02-05
TX5033,5750.09,Beta Corp,2025-07-03
TX5034,1000,Alpha SARL,2025-04-11
TX5035,5519.97,Epsilon Consulting,2025-04-06
TX5036,1931.15,Delta Trading,2025-07-14
TX5037,9006.76,Gamma Services,2025-04-18
TX5038,396.6,Gamma Services,2025-08-05
TX5039,9796.73,Beta Corp,2025-12-02
TX5040,500,Epsilon Consulting,2025-05-08
TX5041,1500,Epsilon Consulting,2025-02-28
TX5042,253.48,Alpha SARL,2025-04-26
TX5043,1000,Alpha SARL,2025-01-09
TX5044,9308.16,Beta Corp,2025-11-19
TX5045,2000,Delta Trading,2025-11-14
TX5046,9000,Beta Corp,2025-11-25
TX5047,5088.37,Beta Corp,2025-01-01
TX5048,1000,Gamma Services,2025-12-04
TX5049,9781.67,Gamma Services,2025-05-20
TX5050,52.08,Gamma Services,2025-05-26
TX5051,5690.92,Beta Corp,2025-05-07
TX5052,9500,Alpha SARL,2025-02-05
TX5053,949.41,Delta Trading,2025-06-19
TX5054,9500,Epsilon Consulting,2025-06-08
TX5055,255.82,Gamma Services,2025-03-18
TX5056,269.04,Gamma Services,2025-11-12
TX5057,11801.84,Beta Corp,2025-09-23
TX5058,1003.16,Beta Corp,2025-03-08
TX5059,9504.22,Epsilon Consulting,2025-02-04
TX5060,2000,Delta Trading,2025-03-10
TX5061,32997.77,Gamma Services,2025-12-24
TX5062,9553.57,Delta Trading,2025-07-25
TX5063,2500,Epsilon Consulting,2025-07-04
TX5064,151.98,Delta Trading,2025-12-20
TX5065,26.43,Beta Corp,2025-08-09
TX5066,17.92,Alpha SARL,2025-04-21
TX5067,5337.24,Alpha SARL,2025-10-26
TX5068,9500,Alpha SARL,2025-05-09
TX5069,99.9,Gamma Services,2025-08-24
TX5070,17488.86,Epsilon Consulting,2025-06-06
TX5071,3508.43,Beta Corp,2025-01-22
TX5072,307.61,Beta Corp,2025-05-01
TX5073,5289.41,Delta Trading,2025-09-24
TX5074,9528.22,Epsilon Consulting,2025-10-19
TX5075,37.2,Beta Corp,2025-01-15
TX5076,9709.89,Epsilon Consulting,2025-06-09
TX5077,299.3,Beta Corp,2025-03-18
TX5078,9500,Epsilon Consulting,2025-08-15
TX5079,9728.42,Delta Trading,2025-03-03
TX5080,1000,Delta Trading,2025-11-05
TX5081,9242.88,Alpha SARL,2025-12-16
TX5082,9581.24,Epsilon Consulting,2025-10-20
TX5083,1000,Epsilon Consulting,2025-02-14
TX5084,9595.59,Alpha SARL,2025-07-11
TX5085,9500,Alpha SARL,2025-02-24
TX5086,9000,Alpha SARL,2025-09-03
TX5087,9439.45,Epsilon Consulting,2025-03-18
TX5088,5164.95,Delta Trading,2025-12-20
TX5089,6636.84,Alpha SARL,2025-09-18
TX5090,9000,Epsilon Consulting,2025-02-13
TX5091,872.13,Beta Corp,2025-07-11
TX5092,33857.14,Alpha SARL,2025-05-02
TX5093,9625.04,Delta Trading,2025-05-25
TX5094,27738,Beta Corp,2025-03-13
TX5095,174.5,Beta Corp,2025-06-01
TX5096,9500,Delta Trading,2025-07-12
TX5097,70.09,Gamma Services,2025-03-27
TX5098,9828.47,Beta Corp,2025-11-26
TX5099,27.92,Epsilon Consulting,2025-07-10
TX5100,1871.2,Epsilon Consulting,2025-07-07
TX5101,9556.48,Epsilon Consulting,2025-08-28
TX5102,25.82,Epsilon Consulting,2025-03-13
TX5103,2456.8,Delta Trading,2025-02-02
TX5104,12589.16,Alpha SARL,2025-10-20
TX5105,1000,Epsilon Consulting,2025-05-08
TX5106,357.9,Alpha SARL,2025-12-07
TX5107,13.38,Delta Trading,2025-08-16
TX5108,500,Delta Trading,2025-01-05
TX5109,18.36,Epsilon Consulting,2025-07-05
TX5110,2000,Alpha SARL,2025-12-14
TX5111,9500,Beta Corp,2025-01-28
TX5112,83.38,Gamma Services,2025-09-25
TX5113,5000,Gamma Services,2025-05-18
TX5114,1000,Beta Corp,2025-06-09
TX5115,5000,Epsilon Consulting,2025-09-04
TX5116,24.08,Epsilon Consulting,2025-10-14
TX5117,9000,Alpha SARL,2025-07-13
TX5118,5276.95,Epsilon Consulting,2025-12-12
TX5119,2000,Alpha SARL,2025-07-26
TX5120,4954.98,Beta Corp,2025-07-15
TX5121,1572.19,Beta Corp,2025-02-19
TX5122,1500,Alpha SARL,2025-11-16
TX5123,110.83,Delta Trading,2025-11-22
TX5124,34169.93,Epsilon Consulting,2025-11-24
TX5125,9666.72,Epsilon Consulting,2025-09-25
TX5126,16545.55,Gamma Services,2025-05-20
TX5127,500,Delta Trading,2025-09-09
TX5128,39209.09,Epsilon Consulting,2025-10-19
TX5129,5368.22,Alpha SARL,2025-01-17
TX5130,5186.47,Beta Corp,2025-09-18
TX5131,2000,Epsilon Consulting,2025-03-05
TX5132,25.65,Delta Trading,2025-05-04
TX5133,5811.04,Epsilon Consulting,2025-02-28
TX5134,10311.79,Alpha SARL,2025-10-21
TX5135,320.45,Alpha SARL,2025-08-04
TX5136,9500,Gamma Services,2025-01-02
TX5137,1500,Alpha SARL,2025-05-27
TX5138,5604.66,Epsilon Consulting,2025-02-24
TX5139,477.68,Beta Corp,2025-10-25
TX5140,5211.13,Gamma Services,2025-05-10
TX5141,5579.57,Gamma Services,2025-11-19
TX5142,9864.14,Delta Trading,2025-10-22
TX5143,5247.32,Delta Trading,2025-09-17
TX5144,9500,Alpha SARL,2025-09-16
TX5145,5855.43,Epsilon Consulting,2025-05-12
TX5146,9117.83,Gamma Services,2025-10-27
TX5147,93.25,Delta Trading,2025-12-20
TX5148,9000,Epsilon Consulting,2025-03-21
TX5149,1000,Epsilon Consulting,2025-11-24
TX5150,16404.92,Delta Trading,2025-08-08
TX5151,305.45,Epsilon Consulting,2025-05-09
TX5152,2500,Delta Trading,2025-02-15
TX5153,105.82,Delta Trading,2025-04-11
TX5154,7792.61,Beta Corp,2025-04-27
TX5155,1000,Delta Trading,2025-06-11
TX5156,558.62,Delta Trading,2025-13-01
TX5157,2500,Delta Trading,2025-03-08
TX5158,9335.51,Beta Corp,2025-10-01
TX5159,5456.48,Gamma Services,2025-12-24
TX5160,9683.62,Delta Trading,2025-03-18
TX5161,1500,Gamma Services,2025-04-05
TX5162,1500,Delta Trading,2025-01-05
