ville,population,departement
Montplaisir-sur-Aine,42684,87
Sarnac,124707,66
Montorge,24294,5
Grandval,1608,95
Combray,138881,35
Belleville,2120,86
Loudéac,501564,43
Loudéac-sur-Aine,2665,5
Chantoiseau,231973,77
Nordheim,577,62
Grandval,335,48
Grandval,236882,50
Bourgville,205,53
Pontoise-les-Bains,80703,82
Sainte-Ode-sur-Aine,356582,80
Estrées,10297,14
Grandval,486250,2
Riverdale,18026,15
Charmoy,1120381,31
Pontoise-les-Bains,57294,56
Larchamp,337814,59
Grandval-sur-Aine,453,8
Bellerive,796754,23
Sainte-Ode,361157,41
Riverdale,387,14
Solignac,5294,95
Vaucelles,9916,34
Roquefort,66030,3
Roquefort-sur-Aine,213490,79
Combray,966,51
Larchamp,227405,47
Charmoy,9358,2
Solignac,4152,28
Verchamp,1790125,57
Chantoiseau,496,56
Belleville-sur-Aine,48133,10
Combray,423010,45
Neuvic,264517,83
Belleville,4455,44
Estrées,373,33
Montplaisir,135905,7
Solignac,462,43
Riverdale-sur-Aine,1268447,91
Larchamp,1104573,60
Aubrac,24863,50
Sainte-Ode,1691,9
Bellerive,4246,61
Pontoise-les-Bains,1682,28
Marchamp,135005,25
Solignac-sur-Aine,361,73
Charmoy,73683,73
Valcourt,1144033,4
Valcourt,1879,43
Illiers,1845,25
Valcourt,336,33
Verchamp,301,1
Clairmont-sur-Aine,626297,67
Illiers,1190,31
Solignac,6569,41
Pontoise-les-Bains,117951,64
Beaulieu,8768,58
Estrées,293741,38
Clairmont,330,85
Bourgville-sur-Aine,33834,86
Loudéac,393823,83
Vaucelles,317,39
Ferrieres,280,65
Loudéac,57074,65
Riverdale,90912,78
Beaulieu,36447,16
Riverdale-sur-Aine,939,18
Clairmont,132771,16
Belleville,111666,17
Montorge,207,81
Nordheim,195255,37
Vaucelles,112057,60
Neuvic,399639,39
Fontenay-sur-Aine,209,4
Montplaisir,5202,17
Combray,193055,38
Grandval,474,40
Montorge,154081,61
Aubrac,513674,84
Combray,631,10
Montplaisir-sur-Aine,1554925,71
Bourgville,3304,67
Clairmont,1380714,7
Beaulieu,26927,33
Larchamp,1214,17
Bourgville,2241,41
Aubrac,1802,44
Neuvic-sur-Aine,534,70
Fontenay,388240,82
Sarnac,578683,63
Clairmont,7508,86
Bellerive,63127,25
Roquefort,88236,90
Larchamp,395255,6
Bellerive-sur-Aine,72461,4
Larchamp,831,9
Charmoy,1027854,63
Combray,26996,54
Valcourt,1281,60
Larchamp,43703,72
Estrées,159552,92
Chantoiseau-sur-Aine,717,18
Montorge,1712030,82
Charmoy,7654,3
Solignac,3197,89
Nordheim,4026,30
Beaulieu,9071,6
Charmoy,8624,70
Estrées-sur-Aine,230178,19
Grandval,3130,24
Valcourt,479308,24
Charmoy,1478868,37
Larchamp,577169,35
Chantoiseau,46880,24
Belleville,98246,73
Riverdale-sur-Aine,40129,78
Valcourt,565,78
Clairmont,646445,94
Neuvic,4550,58
Nordheim,4665,44
Estrées,650,77
Bourgville,292,31
Sarnac-sur-Aine,1200,32
Sarnac,66002,82
Estrées,68755,93
Marchamp,19006,16
Beaulieu,312,31
Clairmont,7087,74
Loudéac,15302,82
Marchamp-sur-Aine,288708,2
Chantoiseau,4311,75
Marchamp,2805,45
Roquefort,13519,1
Pontoise-les-Bains,76151,38
Sarnac,103826,83
